neighborhood,arts,leisure,sustenance,transportation,avg_score,total_amenity,avg_price,lat,lon
Arbutus Ridge,1.0,0.0,19.0,0.0,0.7913219461901296,20.0,112.72131147540983,49.253659,-123.160392
Central Vancouver,23.0,38.0,893.0,166.0,0.8318724191806547,1120.0,182.99912126537785,49.283439,-123.124528
Dunbar-Southlands,5.0,1.0,20.0,0.0,0.8307087662850798,26.0,160.47619047619048,49.250538,-123.18491
East Vancouver,6.0,6.0,149.0,58.0,0.8443049426446962,219.0,134.60330578512398,49.274353,-123.04788
Fairview,7.0,4.0,136.0,33.0,0.8401857278372266,180.0,149.50588235294117,49.263745,-123.128809
Grandview-Woodland,8.0,3.0,132.0,22.0,0.8581145611384176,165.0,141.1283422459893,49.275107,-123.066884
Kensington-Cedar Cottage,1.0,0.0,18.0,6.0,0.8385658827895732,25.0,105.50943396226415,49.24632,-123.075129
Kitsilano,6.0,2.0,182.0,21.0,0.8585292810107802,211.0,173.79084967320262,49.266337,-123.16249
Knight,9.0,1.0,95.0,2.0,0.8379786750512837,107.0,127.81860465116279,49.246247,-123.076035
Marpole,1.0,3.0,50.0,5.0,0.7663394928235522,59.0,104.45833333333333,49.21164,-123.129112
Oakridge,1.0,1.0,12.0,0.0,0.7692255288809602,14.0,126.046875,49.227686,-123.122372
Renfrew-Collingwood,3.0,1.0,63.0,0.0,0.797491633413909,67.0,100.61585365853658,49.249223,-123.038929
Riley Parkâ€“Little Mountain,9.0,1.0,89.0,1.0,0.8461667190910345,100.0,126.20487804878049,49.245469,-123.102697
South Cambie,4.0,0.0,23.0,1.0,0.7856014736244611,28.0,133.15277777777777,49.245203,-123.12262
South Vancouver,0.0,1.0,28.0,2.0,0.7866574942334909,31.0,102.76923076923077,49.210211,-123.116306
Strathcona,1.0,0.0,24.0,13.0,0.8568924468656427,38.0,158.044776119403,49.273196,-123.088624
Sunset,1.0,1.0,48.0,0.0,0.7949811327361009,50.0,142.43939393939394,49.218693,-123.090775
West Point Grey,3.0,0.0,36.0,0.0,0.8341335652940456,39.0,152.44827586206895,49.264835,-123.201
